各省	ge sheng 
国家外国专家局	guo jia wai guo zhuan jia ju 
优胜劣汰	you sheng lie tai 
劳动保障部	lao dong bao zhang bu 
各地	ge di 
资金来源	zi jin lai yuan 
住址	zhu zhi 
落到	luo dao 
大案要案	da an yao an 
兴国县	xing guo xian 
北京冬奥会	bei jing dong ao hui 
第四十五条	di si shi wu tiao 
宣城	xuan cheng 
婴儿	ying er 
不符合	bu fu he 
轨道交通	gui dao jiao tong 
车型	che xing 
下行	xia xing 
英文	ying wen 
现代农业	xian dai nong ye 
保险费率	bao xian fei lv 
留住	liu zhu 
武器装备	wu qi zhuang bei 
编入	bian ru 
九三学社中央	jiu san xue she zhong yang 
执法局	zhi fa ju 
抓紧	zhua jin 
一区	yi qu 
优先发展	you xian fa zhan 
财税	cai shui 
房地产	fang di chan 
第二步	di er bu 
网络化	wang luo hua 
含义	han yi 
群众监督	qun zhong jian du 
春季	chun ji 
合作经营	he zuo jing ying 
广播电视	guang bo dian shi 
西部战区总医院	xi bu zhan qu zong yi yuan 
技术交易	ji shu jiao yi 
检验所	jian yan suo 
环境卫生	huan jing wei sheng 
局等	ju deng 
内需	nei xu 
转发给	zhuan fa gei 
预案	yu an 
经本	jing ben 
座谈	zuo tan 
特定	te ding 
多少	duo shao 
结合	jie he 
党费	dang fei 
销项	xiao xiang 
投标法	tou biao fa 
安化县	an hua xian 
在校学生	zai xiao xue sheng 
扶贫处	fu pin chu 
综合保税区	zong he bao shui qu 
校准	jiao zhun 
文史	wen shi 
情况表	qing kuang biao 
黄土	huang tu 
领域	ling yu 
评价	ping jia 
平原	ping yuan 
教育部	jiao yu bu 
批量	pi liang 
宁都县	ning dou xian 
质量	zhi liang 
不到	bu dao 
医疗事故	yi liao shi gu 
公立医院	gong li yi yuan 
竞争性	jing zheng xing 
申请表	shen qing biao 
第一项	di yi xiang 
就诊	jiu zhen 
集成化	ji cheng hua 
邮政	you zheng 
率先	shuai xian 
跟进	gen jin 
除恶	chu e 
客观	ke guan 
产品	chan pin 
武乡县	wu xiang xian 
论证会	lun zheng hui 
收住	shou zhu 
秘书长	mi shu zhang 
新兴	xin xing 
五级	wu ji 
副主任	fu zhu ren 
是否	shi fou 
执政	zhi zheng 
鄂尔多斯市	e er duo si shi 
北至	bei zhi 
开工	kai gong 
用水	yong shui 
餐厨	can chu 
整治	zheng zhi 
上位	shang wei 
建设厅	jian she ting 
用水量	yong shui liang 
变质	bian zhi 
整地	zheng di 
自主	zi zhu 
前期	qian qi 
人事部	ren shi bu 
补救措施	bu jiu cuo shi 
负责干部	fu ze gan bu 
家政服务	jia zheng fu wu 
塔里木	ta li mu 
成效	cheng xiao 
辽源市	liao yuan shi 
科教	ke jiao 
关心	guan xin 
财政支出	cai zheng zhi chu 
尾气	wei qi 
联系人	lian xi ren 
登记表	deng ji biao 
总队长	zong dui zhang 
报经	bao jing 
印刷	yin shua 
上位法	shang wei fa 
十一五	shi yi wu 
编码标准	bian ma biao zhun 
列车	lie che 
均等	jun deng 
全国总工会	quan guo zong gong hui 
真正	zhen zheng 
土家族	tu jia zu 
封禁	feng jin 
第九	di jiu 
敏感	min gan 
公用事业	gong yong shi ye 
行政效率	xing zheng xiao lv 
国产	guo chan 
组合	zu he 
落实好	luo shi hao 
称谓	cheng wei 
送达	song da 
保险费	bao xian fei 
成就	cheng jiu 
第三步	di san bu 
经开区	jing kai qu 
贯通	guan tong 
内防	nei fang 
住宿	zhu su 
家庭经营	jia ting jing ying 
高层	gao ceng 
人事管理	ren shi guan li 
电力公司	dian li gong si 
年轻一代	nian qing yi dai 
国力	guo li 
丢失	diu shi 
聚合	ju he 
辅导	fu dao 
抽取	chou qu 
创新性	chuang xin xing 
密云	mi yun 
医疗保障	yi liao bao zhang 
所有制	suo you zhi 
建筑设计	jian zhu she ji 
拘留	ju liu 
首要	shou yao 
结果	jie guo 
提价	ti jia 
同线	tong xian 
单户	dan hu 
遏制	e zhi 
光伏	guang fu 
二十六	er shi liu 
另选	ling xuan 
土地出让	tu di chu rang 
机具	ji ju 
素质教育	su zhi jiao yu 
违法违纪	wei fa wei ji 
自愿	zi yuan 
事务性	shi wu xing 
创新力	chuang xin li 
糖料	tang liao 
灵活就业人员	ling huo jiu ye ren yuan 
三同	san tong 
配建	pei jian 
织金县	zhi jin xian 
公务用车	gong wu yong che 
中医师	zhong yi shi 
城关区	cheng guan qu 
标签	biao qian 
用法	yong fa 
不断改进	bu duan gai jin 
资信	zi xin 
不向	bu xiang 
定价	ding jia 
执业资格	zhi ye zi ge 
全面推广	quan mian tui guang 
科技局	ke ji ju 
查清	cha qing 
调研	diao yan 
联通	lian tong 
补领	bu ling 
十三届	shi san jie 
中华	zhong hua 
客车	ke che 
供水	gong shui 
动员	dong yuan 
综合改革	zong he gai ge 
良好	liang hao 
军休	jun xiu 
孵化器	fu hua qi 
泰兴市	tai xing shi 
协调组	xie tiao zu 
开拓创新	kai tuo chuang xin 
江河	jiang he 
分拨	fen bo 
公益事业	gong yi shi ye 
新闻办	xin wen ban 
资金	zi jin 
灾情	zai qing 
检修	jian xiu 
经理人	jing li ren 
乡土	xiang tu 
乌鲁木齐	wu lu mu qi 
急性	ji xing 
中卫市	zhong wei shi 
公示	gong shi 
少数	shao shu 
电视剧	dian shi ju 
分层	fen ceng 
滑县	hua xian 
不具备	bu ju bei 
财务决算	cai wu jue suan 
批发	pi fa 
全国性	quan guo xing 
热爱	re ai 
屏障	ping zhang 
化学武器	hua xue wu qi 
技术手段	ji shu shou duan 
国有	guo you 
双边协议	shuang bian xie yi 
转播	zhuan bo 
四是	si shi 
氨氮	an dan 
干部	gan bu 
先进典型	xian jin dian xing 
服务平台	fu wu ping tai 
简易	jian yi 
城镇化	cheng zhen hua 
商品交易	shang pin jiao yi 
医务科	yi wu ke 
木材	mu cai 
奥林匹克	ao lin pi ke 
独资企业	du zi qi ye 
学科专业	xue ke zhuan ye 
水库	shui ku 
金融控股公司	jin rong kong gu gong si 
之一	zhi yi 
不得以	bu de yi 
助学金	zhu xue jin 
美育	mei yu 
发送	fa song 
一课	yi ke 
更新改造	geng xin gai zao 
赔付	pei fu 
刑事案件	xing shi an jian 
阿坝藏族羌族自治州	a ba zang zu qiang zu zi zhi zhou 
中央委员会	zhong yang wei yuan hui 
某一方面	mou yi fang mian 
第二	di er 
疾控	ji kong 
依证强化	yi zheng qiang hua 
卫生保健	wei sheng bao jian 
掌村	zhang cun 
上市公司	shang shi gong si 
纺织品	fang zhi pin 
流动人口	liu dong ren kou 
工作报告	gong zuo bao gao 
通用	tong yong 
驻村	zhu cun 
分校	fen xiao 
宜春	yi chun 
主流	zhu liu 
与其	yu qi 
临县	lin xian 
印制	yin zhi 
门类	men lei 
贫困村	pin kun cun 
趋于	qu yu 
技术开发	ji shu kai fa 
滨河	bin he 
年初	nian chu 
县委书记	xian wei shu ji 
植物	zhi wu 
上海	shang hai 
基础科学	ji chu ke xue 
大计	da ji 
即将	ji jiang 
归国	gui guo 
世纪	shi ji 
科级	ke ji 
自评	zi ping 
深层次	shen ceng ci 
直至	zhi zhi 
专业学位	zhuan ye xue wei 
公证	gong zheng 
宴请	yan qing 
稳健	wen jian 
陕西省	shan xi sheng 
召集人	zhao ji ren 
心理	xin li 
抵押	di ya 
砖墙	zhuan qiang 
出行	chu xing 
禁毒	jin du 
法律	fa lv 
禁入	jin ru 
沉淀	chen dian 
安新县	an xin xian 
图表	tu biao 
嫌疑	xian yi 
产量	chan liang 
分装	fen zhuang 
林草	lin cao 
视频	shi pin 
饲料	si liao 
承继	cheng ji 
连续性	lian xu xing 
水田	shui tian 
批复	pi fu 
扑救	pu jiu 
两年	liang nian 
奶业	nai ye 
国务院研究室	guo wu yuan yan jiu shi 
减轻处分	jian qing chu fen 
人民法院	ren min fa yuan 
公民	gong min 
遇险	yu xian 
差异性	cha yi xing 
公共数据	gong gong shu ju 
定额	ding e 
托养	tuo yang 
宗教界	zong jiao jie 
无差别	wu cha bie 
处罚法	chu fa fa 
优秀党员	you xiu dang yuan 
考验	kao yan 
龙门	long men 
嘉定区	jia ding qu 
网络安全	wang luo an quan 
国内贸易	guo nei mao yi 
之后	zhi hou 
台账	tai zhang 
禁售	jin shou 
调派	diao pai 
无害化	wu hai hua 
建档	jian dang 
总承包	zong cheng bao 
印花税	yin hua shui 
业态	ye tai 
急难险重	ji nan xian zhong 
参考	can kao 
亿美元	yi mei yuan 
飞机	fei ji 
长期实践	chang qi shi jian 
管网	guan wang 
普通教育	pu tong jiao yu 
吸引力	xi yin li 
录音	lu yin 
原件	yuan jian 
品行	pin xing 
隐性	yin xing 
端午节	duan wu jie 
对内	dui nei 
专区	zhuan qu 
第一次	di yi ci 
多报	duo bao 
首位	shou wei 
兵役法	bing yi fa 
奖补	jiang bu 
进有	jin you 
东风	dong feng 
专政职能	zhuan zheng zhi neng 
意愿	yi yuan 
心理健康	xin li jian kang 
沈阳	shen yang 
抽样	chou yang 
决定性	jue ding xing 
加固	jia gu 
设防	she fang 
证监会	zheng jian hui 
编制	bian zhi 
公平正义	gong ping zheng yi 
宜游	yi you 
出访	chu fang 
医学中心	yi xue zhong xin 
百项	bai xiang 
缉私	ji si 
求实	qiu shi 
各方	ge fang 
涌现	yong xian 
一些	yi xie 
辽源	liao yuan 
下一代	xia yi dai 
督察组	du cha zu 
功效	gong xiao 
毛泽东思想	mao ze dong si xiang 
遵照执行	zun zhao zhi xing 
信息系统	xin xi xi tong 
阿克苏地区	a ke su di qu 
初级	chu ji 
秘书局	mi shu ju 
推广应用	tui guang ying yong 
文明执法	wen ming zhi fa 
整改意见	zheng gai yi jian 
生化	sheng hua 
财政管理	cai zheng guan li 
大街	da jie 
脆弱	cui ruo 
冷链物流	leng lian wu liu 
南宁	nan ning 
感知	gan zhi 
用电	yong dian 
物流配送	wu liu pei song 
绿色	lv se 
进步奖	jin bu jiang 
防性	fang xing 
紧盯	jin ding 
信息处理	xin xi chu li 
可行性研究	ke xing xing yan jiu 
身心	shen xin 
中国政府	zhong guo zheng fu 
特种设备	te zhong she bei 
友好	you hao 
潜江市	qian jiang shi 
麦盖提县	mai gai ti xian 
昭通	zhao tong 
造林	zao lin 
流失	liu shi 
妥善处置	tuo shan chu zhi 
种植业	zhong zhi ye 
雅安市	ya an shi 
严肃处理	yan su chu li 
精细	jing xi 
环境效益	huan jing xiao yi 
内蒙古自治区	nei meng gu zi zhi qu 
行业标准	hang ye biao zhun 
中欧	zhong ou 
南山区	nan shan qu 
科研项目	ke yan xiang mu 
工作量	gong zuo liang 
痛点	tong dian 
云浮市	yun fu shi 
非常设	fei chang she 
器官	qi guan 
组成部分	zu cheng bu fen 
事项	shi xiang 
生态环境	sheng tai huan jing 
选举	xuan ju 
进驻	jin zhu 
典型性	dian xing xing 
监票人	jian piao ren 
退役	tui yi 
停止	ting zhi 
尚无	shang wu 
中央军事委员会	zhong yang jun shi wei yuan hui 
经济社会	jing ji she hui 
还贷	huan dai 
粤府	yue fu 
内外部	nei wai bu 
公共信息	gong gong xin xi 
身体健康	shen ti jian kang 
方向	fang xiang 
拒不执行	ju bu zhi xing 
分布式	fen bu shi 
正职	zheng zhi 
紧急情况	jin ji qing kuang 
生产秩序	sheng chan zhi xu 
包含	bao han 
私分	si fen 
自救	zi jiu 
武装头脑	wu zhuang tou nao 
洛浦县	luo pu xian 
非上市	fei shang shi 
第一季度	di yi ji du 
熟悉	shu xi 
避难	bi nan 
湟源县	huang yuan xian 
公司制	gong si zhi 
巡逻	xun luo 
巡回	xun hui 
博士学位	bo shi xue wei 
办理手续	ban li shou xu 
较重	jiao zhong 
居民收入	ju min shou ru 
公布	gong bu 
时间表	shi jian biao 
经审查	jing shen cha 
标准	biao zhun 
难点	nan dian 
商务	shang wu 
育秧	yu yang 
数据分析	shu ju fen xi 
表达	biao da 
拍摄	pai she 
利川市	li chuan shi 
劳动合同	lao dong he tong 
卖淫	mai yin 
巡检	xun jian 
三五年	san wu nian 
师德	shi de 
失业保险	shi ye bao xian 
保障法	bao zhang fa 
不服	bu fu 
云南省	yun nan sheng 
外链	wai lian 
引发	yin fa 
使用量	shi yong liang 
储气	chu qi 
压力	ya li 
清缴	qing jiao 
过度	guo du 
适用技术	shi yong ji shu 
医疗纠纷	yi liao jiu fen 
跑腿	pao tui 
云南省德宏傣族景颇族自治州	yun nan sheng de hong dai zu jing po zu zi zhi zhou 
各级	ge ji 
归入	gui ru 
校际	xiao ji 
实缴	shi jiao 
收集	shou ji 
高雨	gao yu 
筹办	chou ban 
筹设	chou she 
二十九	er shi jiu 
同类	tong lei 
扎实	zha shi 
退役军人部	tui yi jun ren bu 
确因	que yin 
集散地	ji san di 
教研室	jiao yan shi 
出席	chu xi 
法定权限	fa ding quan xian 
督察	du cha 
三处	san chu 
科学家	ke xue jia 
被执行人	bei zhi xing ren 
指导性	zhi dao xing 
垃圾焚烧	la ji fen shao 
评议	ping yi 
净资产	jing zi chan 
大庆油田	da qing you tian 
样图	yang tu 
缺失	que shi 
访问	fang wen 
事务局	shi wu ju 
人道主义	ren dao zhu yi 
名下	ming xia 
就读	jiu du 
行使权力	xing shi quan li 
财金	cai jin 
家庭成员	jia ting cheng yuan 
意图	yi tu 
对稳	dui wen 
兴业	xing ye 
多次	duo ci 
新闻处	xin wen chu 
互通信息	hu tong xin xi 
咸阳市	xian yang shi 
粮食	liang shi 
发行股票	fa xing gu piao 
县长	xian zhang 
堵点	du dian 
珠江三角洲	zhu jiang san jiao zhou 
属实	shu shi 
正当	zheng dang 
人民警察	ren min jing cha 
斩断	zhan duan 
中小型	zhong xiao xing 
第十三个	di shi san ge 
工具	gong ju 
燃气	ran qi 
高效率	gao xiao lv 
吉安市	ji an shi 
后勤部	hou qin bu 
大局意识	da ju yi shi 
供需	gong xu 
生活品质	sheng huo pin zhi 
芒市	mang shi 
自律	zi lv 
政商	zheng shang 
人人平等	ren ren ping deng 
生活环境	sheng huo huan jing 
精深	jing shen 
海外侨胞	hai wai qiao bao 
正副	zheng fu 
为准	wei zhun 
社会保障卡	she hui bao zhang ka 
整合型	zheng he xing 
用能	yong neng 
督促检查	du cu jian cha 
诉讼	su song 
上线	shang xian 
火场	huo chang 
服从	fu cong 
临时性	lin shi xing 
返贫	fan pin 
失能	shi neng 
纲领性	gang ling xing 
限于	xian yu 
积极参与	ji ji can yu 
医学类	yi xue lei 
增量	zeng liang 
一体化	yi ti hua 
重工	zhong gong 
师资	shi zi 
国家政务	guo jia zheng wu 
公安消防	gong an xiao fang 
总部	zong bu 
瑶族自治县	yao zu zi zhi xian 
自然遗产	zi ran yi chan 
有限责任	you xian ze ren 
经济区	jing ji qu 
微企业	wei qi ye 
外事活动	wai shi huo dong 
储备粮	chu bei liang 
决算	jue suan 
字样	zi yang 
新趋势	xin qu shi 
康复训练	kang fu xun lian 
承受能力	cheng shou neng li 
信托	xin tuo 
托育	tuo yu 
朝阳市	zhao yang shi 
推荐	tui jian 
和县	he xian 
井冈山市	jing gang shan shi 
工业用地	gong ye yong di 
尽力	jin li 
部长	bu zhang 
停靠	ting kao 
查控	cha kong 
现予	xian yu 
严格	yan ge 
副食品	fu shi pin 
三权分置	san quan fen zhi 
养老保险费	yang lao bao xian fei 
参保	can bao 
专线	zhuan xian 
洛阳市	luo yang shi 
封建	feng jian 
镇上	zhen shang 
尽职	jin zhi 
候选人	hou xuan ren 
发射	fa she 
留痕	liu hen 
功勋	gong xun 
艺术品	yi shu pin 
联村	lian cun 
精准度	jing zhun du 
报送	bao song 
第二十七条	di er shi qi tiao 
双随机	shuang sui ji 
出示	chu shi 
合理配置	he li pei zhi 
徽记	hui ji 
全年	quan nian 
产业	chan ye 
排除	pai chu 
交通管制	jiao tong guan zhi 
共担	gong dan 
高品质	gao pin zhi 
铆足干劲	mao zu gan jin 
生命科学	sheng ming ke xue 
济宁	ji ning 
瑞丽	rui li 
知识产权	zhi shi chan quan 
人身	ren shen 
保障体系	bao zhang ti xi 
优化营商环境条例	you hua ying shang huan jing tiao li 
调查表	diao cha biao 
黄沙	huang sha 
以次充好	yi ci chong hao 
你区	ni qu 
检查站	jian cha zhan 
强大	qiang da 
本息	ben xi 
玛沁县	ma qin xian 
水域	shui yu 
腾退	teng tui 
面对	mian dui 
农民	nong min 
制造	zhi zao 
补偿	bu chang 
过失	guo shi 
监察局	jian cha ju 
注重实效	zhu zhong shi xiao 
相等	xiang deng 
泄露	xie lou 
补短	bu duan 
敬业	jing ye 
证券公司	zheng quan gong si 
女性	nv xing 
业务能力	ye wu neng li 
根据	gen ju 
考察	kao cha 
合伙	he huo 
年版	nian ban 
全面落实	quan mian luo shi 
贫困	pin kun 
发生	fa sheng 
税务	shui wu 
人民检察院	ren min jian cha yuan 
不好	bu hao 
抓手	zhua shou 
介入	jie ru 
大部分	da bu fen 
第二产业	di er chan ye 
一年内	yi nian nei 
一张	yi zhang 
永久性	yong jiu xing 
民意	min yi 
天门市	tian men shi 
月底	yue di 
转办	zhuan ban 
入户	ru hu 
差异化	cha yi hua 
调入	diao ru 
安徽省	an hui sheng 
批次	pi ci 
依法	yi fa 
林地	lin di 
容忍	rong ren 
宗教事务	zong jiao shi wu 
常规	chang gui 
事故	shi gu 
国营企业	guo ying qi ye 
地区	di qu 
裁量	cai liang 
人员伤亡	ren yuan shang wang 
大专院校	da zhuan yuan xiao 
党支部	dang zhi bu 
新一代	xin yi dai 
风气	feng qi 
法学	fa xue 
物价管理	wu jia guan li 
洪涝	hong lao 
首届	shou jie 
违纪行为	wei ji xing wei 
提挡	ti dang 
石河子	shi he zi 
基因	ji yin 
周口市	zhou kou shi 
管制	guan zhi 
作战	zuo zhan 
轿车	jiao che 
合规	he gui 
扬州	yang zhou 
联动机制	lian dong ji zhi 
资费	zi fei 
研究型	yan jiu xing 
专家库	zhuan jia ku 
排污	pai wu 
荆州市	jing zhou shi 
密切协作	mi qie xie zuo 
钢铁	gang tie 
咸阳	xian yang 
副本	fu ben 
信息管理系统	xin xi guan li xi tong 
职业化	zhi ye hua 
建档立卡	jian dang li ka 
地铁	di tie 
一站	yi zhan 
检疫局	jian yi ju 
歌舞团	ge wu tuan 
单位	dan wei 
县乡	xian xiang 
无关	wu guan 
大城市	dai cheng shi 
伤残	shang can 
深圳市	shen zhen shi 
水乡	shui xiang 
范围广	fan wei guang 
有条件	you tiao jian 
来源于	lai yuan yu 
河北省人民政府	he bei sheng ren min zheng fu 
中小	zhong xiao 
效率高	xiao lv gao 
六科	liu ke 
民办学校	min ban xue xiao 
不胜任	bu sheng ren 
公众	gong zhong 
航权	hang quan 
主导	zhu dao 
积极支持	ji ji zhi chi 
网信	wang xin 
导师	dao shi 
致病性	zhi bing xing 
专项	zhuan xiang 
互市	hu shi 
地方党委	di fang dang wei 
职工基本	zhi gong ji ben 
厕所	ce suo 
石漠化	shi mo hua 
勐腊	meng la 
疑难	yi nan 
海南岛	hai nan dao 
新生儿	xin sheng er 
不得公开	bu de gong kai 
供需平衡	gong xu ping heng 
课题	ke ti 
服务项目	fu wu xiang mu 
省负	sheng fu 
指定	zhi ding 
东北亚	dong bei ya 
龙舟	long zhou 
夺取	duo qu 
劳动密集型	lao dong mi ji xing 
铁岭市	tie ling shi 
融入	rong ru 
飞行	fei xing 
总指挥	zong zhi hui 
优化结构	you hua jie gou 
复印件	fu yin jian 
掌握	zhang wo 
外交部	wai jiao bu 
放活	fang huo 
事件报告	shi jian bao gao 
转改	zhuan gai 
物权	wu quan 
吉林省	ji lin sheng 
地下水	di xia shui 
知名品牌	zhi ming pin pai 
豁免	huo mian 
一品	yi pin 
出缺	chu que 
共济	gong ji 
计价	ji jia 
感染性	gan ran xing 
中央农办	zhong yang nong ban 
烟台	yan tai 
维持	wei chi 
缴回	jiao hui 
等线	deng xian 
自己	zi ji 
高技能	gao ji neng 
重金属	zhong jin shu 
自给率	zi ji lv 
农机	nong ji 
第五批	di wu pi 
科技股份	ke ji gu fen 
军事医学	jun shi yi xue 
航空器	hang kong qi 
松花江	song hua jiang 
国际	guo ji 
全员	quan yuan 
废纸	fei zhi 
备份	bei fen 
当代	dang dai 
援助	yuan zhu 
日前	ri qian 
贫困户	pin kun hu 
降费	jiang fei 
提拔任用	ti ba ren yong 
网约车	wang yue che 
地九	di jiu 
城乡建设	cheng xiang jian she 
简并	jian bing 
扑灭	pu mie 
项目	xiang mu 
畅通	chang tong 
药师	yao shi 
某项	mou xiang 
自强	zi qiang 
风清气	feng qing qi 
国家所有	guo jia suo you 
控制性	kong zhi xing 
承租	cheng zu 
随州市	sui zhou shi 
应偿	ying chang 
计生委	ji sheng wei 
报有	bao you 
不搞	bu gao 
教育培养	jiao yu pei yang 
东乡族	dong xiang zu 
原始记录	yuan shi ji lu 
万件	wan jian 
重中之重	zhong zhong zhi zhong 
